affiliateid,affiliateguid,affiliatename,affiliatenumber,affiliateabbreviatedname,affiliateacronym,affiliateein,affiliatepercapitapin,billhighwaygroupid,ischartered,charterdate,parentaffiliateid,affiliatetypeid,affiliatedesignationid,affiliategeoreachid,isaffiliateactive,affiliateinactivereasonid,affiliateinactivedate,locationstateabr,regionid,retireeentitytypeid,retireedestinationid,electionmonth,officertermstartmonth,iselectionyearodd,electiontermyears,noncoaupdate,nonationalupdate,nostateupdate,nolanwanupdate,noexternalupdate,affiliatewebsite,isactionnetwork,usesaftmemberid,createdby,createdat,updatedby,updatedat,deletedat
2025,69F377CC-79A4-4D16-9D07-31E3D05B185B,Camaseraga Support Staff Association,08141,,CSSA,852938370,642761,,1,2018-05-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2020-02-20 14:57:13.0,25,2022-10-07 10:43:19.44,
2026,F9F07CE1-301E-44EC-93D9-D2E4E3347573,NY Associate Members,08888,,,,146462,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2003-11-19 07:19:53.0,25,2022-10-07 10:43:19.44,
2053,4E031854-FD98-4D33-A6A9-5C7C459D978F,New York State United Teachers Retiree Council 24,9524R,,,,929340,,1,,49,4,4,2,1,,,NY,2,,,1,,0,,0,0,0,0,0,,0,0,1,2003-01-15 19:25:43.0,1,2022-09-23 11:22:41.17,
2054,D1C86A1D-F51E-4AD5-8A41-D6FFD834473F,NYSUT Retiree Council 25,9525R,,,,302495,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:50:03.0,1,2022-09-23 11:22:41.17,
2055,E80185B1-C10E-4F74-A7A1-D2FDC4B30F90,NYSUT Retiree Council 26,9526R,,,,718699,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:51:29.0,1,2022-09-23 11:22:41.17,
2056,CEAD9F58-027B-421E-B042-FAE34126419B,NYSUT Retiree Council 27,9527R,,,,640106,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:52:37.0,1,2022-09-23 11:22:41.17,
2057,EC1311C3-33C8-4154-B2BA-E1B6E80953CA,NYSUT Retiree Council 28,9528R,,,,313045,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:53:22.0,1,2022-09-23 11:22:41.17,
2058,E1CD9113-5A4A-4B36-B158-195A1C348A1B,NYSUT Retiree Council 29,9529R,,,,380139,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:54:04.0,1,2022-09-23 11:22:41.17,
2059,D60C80AD-D10A-4CB8-A5DA-DF873AE510AE,NYSUT Retiree Council 30,9530R,,,,684829,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:54:47.0,1,2022-09-23 11:22:41.17,
2060,E0CDCBB0-E73E-4FF1-8FA1-B832ED2E68F6,NYSUT Retiree Council 31,9531R,,,,537806,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:55:32.0,1,2022-09-23 11:22:41.17,
2061,0F432D73-55B9-443A-88FB-1C8D6A8A5503,NYSUT Retiree Council 32,9532R,,,,537466,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:56:12.0,1,2022-09-23 11:22:41.17,
2062,D3A0F286-C21E-4322-A756-FD15EF78B82C,NYSUT Retiree Council 33,9533R,,,,485998,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:56:54.0,1,2022-09-23 11:22:41.17,
2063,2ECAC085-4C9D-42B1-8601-1EFE721C9BFD,NYSUT Retiree Council 34,9534R,,,,755177,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:58:29.0,1,2022-09-23 11:22:41.17,
2064,B6FB7E55-94FC-406E-BC16-4B5CC20A78FF,NYSUT Retiree Council 35,9535R,,,,449045,,0,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2004-05-19 11:59:07.0,1,2022-09-23 11:22:41.17,
2073,63245529-AED3-46DF-A718-6B374474B0BD,New York State United Teachers Retiree Council 47,9547R,,,,475448,,1,,49,4,4,2,1,,,NY,2,,,,,0,,0,0,0,0,0,,0,0,1,2003-01-15 19:25:43.0,1,2022-09-23 11:22:41.17,
2083,48282D42-4BD6-11D5-B097-00508B6D7CC3,New Haven Federation of Teachers,00933,,NHFT,66076721,390653,,1,1946-11-23 00:00:00.0,53,4,1,2,1,,,CT,2,1,2129,12,,0,,0,0,0,0,0,http://ct.aft.org/nhft/,0,1,1,2001-05-18 17:41:58.0,25,2022-11-30 10:40:53.2466667,
2084,F6DD05B0-0DB5-11D5-B096-00508B6D7CC3,Hartford Federation of Teachers,01018,,HFT,60737021,509853,,1,1948-06-17 00:00:00.0,53,4,1,2,1,,,CT,2,,,4,,0,,0,0,0,0,0,http://www.hft-1018.org/,0,1,1,2001-03-01 10:13:41.0,25,2022-10-07 10:43:19.44,
2401,7A8222C0-07D5-4837-9862-BA134758DA89,Belleville District #118 Building Admin Assistants,06351,,,263471508,155634,,1,2006-08-01 00:00:00.0,6,4,1,2,1,,,IL,1,,,8,,0,,0,0,0,0,0,,0,0,1,2006-06-28 18:37:20.0,25,2022-10-07 10:43:19.44,
2402,BA05A786-1E70-455D-9157-D2DEF5E37257,O'Fallon Support Personnel,06353,,OSP,371290920,828862,,1,2006-12-01 00:00:00.0,6,4,1,2,1,,,IL,1,,,,,0,,0,0,0,0,0,,0,0,1,2008-02-21 14:36:23.0,25,2022-10-07 10:43:19.44,
2431,D9EA53C0-2260-45B3-AFD7-7C4EDFBC1E9E,Illinois Fed of Teachers,8011R,,,,140272,,1,,6,4,4,2,1,,,IL,1,,,,,0,,0,0,0,0,0,,0,0,1,2004-02-13 10:39:09.0,1,2022-09-23 11:22:41.17,
2443,D63E107F-3157-11D6-B0A1-00508B6D7CC3,Northern Tipton Federation of Teachers,02351,,NTFT,237231114,516815,,1,1972-11-01 00:00:00.0,51,4,1,2,1,,,IN,1,,,9,,0,,0,0,0,0,0,http://ntft.in.aft.org/,0,1,1,2004-11-07 12:24:41.0,25,2022-10-07 10:43:19.44,
102,421EA75F-E068-4147-A803-4584D3917CC8,AFT Retirees At-Large,09005,AFT Retirees At-Large,,,443012,,1,2001-12-07 00:00:00.0,1,4,4,2,1,,,DC,4,5,11821,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
105,49089F8D-171B-45E2-A7B7-8BAD3C72FF49,"AFT Washington, AFL-CIO",08045,"AFT Washington, AFL-CIO",,910728570,594029,,1,1938-12-05 00:00:00.0,1,2,1,3,1,,,WA,6,1,606,,,0,,0,0,0,0,0,wa.aft.org,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
108,68579341-B15C-11D5-B09B-00508B6D7CC3,Rhode Island Fed of Teachers & Health Prof,08037,Rhode Island Fed of Trs & Health Profs,,50341105,362317,,1,1947-03-29 00:00:00.0,1,2,1,3,1,,,RI,2,5,11800,,,0,,0,0,0,0,0,www.rifthp.org/,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
114,D63E105A-3157-11D6-B0A1-00508B6D7CC3,Central Falls Teachers Union,01567,,CFTU,56035577,918572,,1,1963-03-13 00:00:00.0,108,4,1,2,1,,,RI,2,5,11332,10,,0,,0,0,0,0,0,,0,1,1,2004-11-07 12:24:22.0,25,2022-10-07 10:43:19.44,
118,5F1E4074-7F7C-11D5-B098-00508B6D7CC3,AFT-Maryland,08018,,,520982221,331294,,1,1950-06-08 00:00:00.0,1,2,1,3,1,,,MD,2,5,11783,4,,0,,0,0,0,0,0,www.aft-maryland.org,0,1,1,2001-07-23 12:46:15.0,25,2022-10-07 10:43:19.44,
121,0B53CFC6-4BF5-11D5-B097-00508B6D7CC3,Cinnaminson Employees Federation,03599,,CEF,,325004,,1,1976-08-01 00:00:00.0,33,4,1,2,1,,,NJ,2,5,11441,4,,0,,0,0,0,0,0,,0,1,1,2001-05-18 21:22:14.0,25,2022-10-07 10:43:19.44,
122,7B1F0449-7600-11D5-B098-00508B6D7CC3,AFT New Mexico,08029,,,850256710,853703,,1,1962-11-01 00:00:00.0,1,2,1,3,1,,,NM,5,5,11793,5,,0,,0,0,0,0,0,http://nm.aft.org/,0,1,1,2002-07-31 12:50:52.0,25,2022-10-07 10:43:19.44,
125,4B206940-4BDF-11D5-B097-00508B6D7CC3,Concordia Federation of Teachers,03879,,CFT,720858672,697780,,1,1978-11-01 00:00:00.0,124,4,1,2,0,10,2022-10-30 00:00:00.0,LA,4,5,11461,5,,0,,0,0,0,0,0,http://concordia.la.aft.org/,0,1,1,2001-05-18 18:46:19.0,25,2022-10-31 14:23:51.71,2022-10-31 14:23:51.71
138,D81C47D5-4BDF-11D5-B097-00508B6D7CC3,Caldwell Federation of Teachers/School Employees,06040,,CFTSE,721403844,141025,,1,1997-12-01 00:00:00.0,124,4,1,2,0,10,2022-10-30 00:00:00.0,LA,4,5,136,5,,0,,0,0,0,0,0,http://cftse.la.aft.org/,0,1,1,2001-05-18 18:55:26.0,25,2022-10-31 14:43:23.6,2022-10-31 14:43:23.6
140,9287172F-22E7-4168-9585-3B39C292985C,Plymouth-Canton Assn of Education Office Personnel,06172,,PCAEOP,,916896,,1,2001-09-01 00:00:00.0,56,4,1,2,1,,,MI,1,5,11679,,,0,,0,0,0,0,0,,0,1,1,2005-05-12 21:54:31.0,25,2022-10-07 10:43:19.44,
141,01C49285-50FF-4888-A7E9-C1871BE5BE86,Lake Shore Association of Education Secretaries,06195,,LSAES,,643316,,1,2002-06-01 00:00:00.0,56,4,1,2,1,,,MI,1,5,11684,,,0,,0,0,0,0,0,,0,1,1,2005-11-11 10:24:14.0,25,2022-10-07 10:43:19.44,
149,06B79EC7-4BDD-11D5-B097-00508B6D7CC3,United Federation of College Teachers,01130,,UFCT,721479842,994392,,1,1951-05-28 00:00:00.0,124,4,1,2,1,,,LA,4,5,11312,4,,0,,0,0,0,0,0,http://ufct.la.aft.org/,0,1,1,2001-05-18 18:41:42.0,25,2022-10-07 10:43:19.44,
156,E0276155-4BCF-11D5-B097-00508B6D7CC3,Ojai Federation of Teachers,02119,,OFT,953695002,342561,,1,1970-11-07 00:00:00.0,24,4,1,2,1,,,CA,6,5,11379,6,,0,,0,0,0,0,0,www.oft.org,0,1,1,2004-11-05 13:57:00.0,25,2022-10-07 10:43:19.44,
159,7A3E2393-4BD1-11D5-B097-00508B6D7CC3,Sonora  High School Federation of Teachers,03187,,SHSFT,271895295,283906,,1,1992-01-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11416,5,,0,,0,0,0,0,0,,0,1,1,2004-11-05 13:57:15.0,25,2022-10-07 10:43:19.44,
171,D63E1052-3157-11D6-B0A1-00508B6D7CC3,Terra Faculty Association,04719,,TFA,341454177,644723,,1,1990-09-01 00:00:00.0,59,4,1,2,1,,,OH,1,5,11558,4,,0,,0,0,0,0,0,,0,1,1,2004-11-07 12:25:55.0,25,2022-10-07 10:43:19.44,
174,D63E1064-3157-11D6-B0A1-00508B6D7CC3,Yuba College,04952,,,680357031,294606,,1,1995-11-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11600,8,,0,,0,0,0,0,0,N/A,0,1,1,2004-11-05 13:57:42.0,25,2022-10-07 10:43:19.44,
177,D63E1811-3157-11D6-B0A1-00508B6D7CC3,Long Beach Council of Classified Employees,06108,,LBCCE,330901093,670440,,1,2000-08-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11670,,,0,,0,0,0,0,0,http://lbcc6108.ca.aft.org/about-us,0,1,1,2003-02-04 09:11:17.0,25,2022-10-07 10:43:19.44,
178,3BCD03D8-D966-11D6-B0A5-00508B6D7CC3,Allan Hancock Part-Time Faculty Association,06185,,AHPTFA,461948514,421841,,1,2002-03-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11683,12,,0,,0,0,0,0,0,http://pfaofahc.com,0,1,1,2004-11-05 13:58:42.0,25,2022-10-07 10:43:19.44,
180,38DFB695-8F3B-40C1-AE9B-876ECC0BCE7F,Antelope Valley Fed of Teachers College Certified,4683A,,,,991947,,1,1991-05-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11830,4,,0,,0,0,0,0,0,,0,1,1,2004-11-17 13:24:07.0,25,2022-10-07 10:44:42.15,
183,2F67A869-4BDC-11D5-B097-00508B6D7CC3,Blackford Federation of Teachers,00977,,BFT,310936965,732616,,1,1990-09-01 00:00:00.0,51,4,1,2,1,,,IN,1,5,11304,4,,0,,0,0,0,0,0,http://bft.in.aft.org/,0,1,1,2004-11-07 12:24:14.0,25,2022-10-07 10:43:19.44,
190,D63E108B-3157-11D6-B0A1-00508B6D7CC3,Sussex County College Faculty Federation,04780,,SCCFF,223144766,874360,,1,1992-01-01 00:00:00.0,33,4,1,2,1,,,NJ,2,1,102,4,,0,,0,0,0,0,0,,0,1,1,2002-07-16 09:51:18.0,25,2022-10-07 10:43:19.44,
193,BD96AED2-34E2-11D5-B096-00508B6D7CC3,Texas AFT,08041,Texas AFT,,741771404,742889,,1,1960-08-11 00:00:00.0,1,2,1,3,1,,,TX,5,5,11802,,,0,,0,0,0,0,0,www.texasaft.org,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
502,5783F8EC-4BF8-11D5-B097-00508B6D7CC3,New Mexico Fed of Student Teachers,07129,,,,721170,,1,2015-05-01 00:00:00.0,122,4,1,2,1,,,NM,5,5,11766,,,0,,0,0,0,0,0,,0,1,1,2002-07-31 12:51:56.0,25,2022-10-07 10:44:42.15,
503,1224F540-9DC7-465F-A6AE-EFA7BB56EA95,United Teachers of Wichita,0725R,,,,775398,,1,,423,4,4,2,1,,,KS,5,5,11767,,,0,,0,0,0,0,0,,0,1,1,2004-02-13 10:46:22.0,1,2022-09-23 11:22:41.17,
504,5F1EFEC0-2B25-4338-8445-D1D969DEF674,Early Childhood Education,09574,Early Childhood Education,,,176587,,0,,122,4,5,2,1,,,NM,5,5,11824,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:41.17,
513,D63E1060-3157-11D6-B0A1-00508B6D7CC3,Fed of Washtenaw Intermediate School Employees,03760,Fed of Washtenaw Int Schl Empl,FWISE,510229722,811705,,1,1978-02-01 00:00:00.0,56,4,1,2,1,,,MI,1,5,11448,,,0,,0,0,0,0,0,mi.aft.org/washtenaw/,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
529,16904120-4BFC-11D5-B097-00508B6D7CC3,Crooksville Federation of Teachers,04988,,CEA,311485358,928399,,1,1996-09-01 00:00:00.0,59,4,1,2,1,,,OH,1,5,11608,2,,0,,0,0,0,0,0,,0,1,1,2001-05-18 22:20:10.0,25,2022-10-07 10:43:19.44,
530,E3645684-2AD0-466B-95BB-42198BCC5698,Alliance of Charter School Employees,06056,Alliance of Charter School Employees,ACSE,273783654,273028,,1,1999-09-01 00:00:00.0,132,4,1,2,1,,,PA,2,5,395,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
551,1A3C7CDE-D77F-4BD4-AE15-6C1F1A017C20,Turlock Classified AFT,2424A,Turlock Classified AFT,,,352966,,1,1988-05-01 00:00:00.0,24,4,1,2,1,,,CA,6,5,11826,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:44:42.15,
578,D63E1087-3157-11D6-B0A1-00508B6D7CC3,AFT McDowell,04906,AFT McDowell,MCFT,844861213,474593,,1,1995-02-01 00:00:00.0,469,4,1,2,1,,,WV,1,5,11590,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
905,B16C3754-27F2-4452-840F-4C1AC619BB62,Edwards-Knox Ta,02631,,EKTA,,434710,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,2,,0,,0,0,0,0,0,,0,0,1,2003-04-01 09:09:47.0,25,2022-10-07 10:43:19.44,
911,A658107B-9C10-4B59-AE06-A656E46AECE1,Elmira Heights Teachers Association,02637,,EHTA,271261855,382242,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
917,A570EA81-4273-4466-82B7-77A95B5E81E1,Fabius Pompey Education Association,02643,,FPEA,237456602,606517,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
918,D6175259-3B99-446D-8C01-5151241ED888,Broome Community College Faculty Association,02644,,BCCFA,510252990,713742,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,http://bccfa.ny.aft.org/,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
922,A05DA9B7-DA82-49B3-BADD-DDF2A8835AEB,Fillmore Central School Faculty Association,02649,,FCSFA,110408335,332889,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
931,7374CA7A-FD9C-4D3F-BC0B-E96292C635B0,Franklin Teachers Association,02658,,FTA,900399387,880919,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
945,C739DDCF-5AE0-4E62-A31B-D0A817A97429,Geneva Teachers Association,02672,,GTA,453463426,639932,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
946,0FC7EBB7-2136-43D5-9372-DD8491D3BD50,Gilbertsville Mt. Upton Teachers Association,02675,,GMUTA,460787705,169402,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,1,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
958,E3476C5F-3108-421E-93A4-4BA8BA5B4FBC,Greene Teachers Assn,02690,,GTA,510138007,467166,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2003-04-01 09:09:47.0,25,2022-10-07 10:43:19.44,
964,D867A0C6-185B-4D66-9E79-5B268E2923B0,Groton Faculty Association,02697,,GFA,201801522,831452,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
973,516EAD95-3C7C-4ECF-84CA-BF3A0C2D615E,Hammondsport Teachers Association,02706,,HTA,611594085,617357,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,8,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
975,34E042E4-2759-495C-98A4-8B5E55878444,Hancock Teachers Association,02708,,HTA,,877148,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
994,BB12D439-E80F-4409-B813-353F526CF184,Hinsdale United Teachers,02728,,HUT,166001805,861818,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1311,91405B70-26FD-47F5-A4C5-408DC96DCA17,Vestal Teachers Association,03078,,VTA,222303392,441610,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1315,403D0AB7-508C-4438-AD05-36BC135EA4DD,Walton Teachers Association,03083,,WTA,161431755,850757,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1317,3CCCF203-5C9C-47EE-AC52-692A01D1B88C,Warsaw Education Association,03085,,WEA,800645819,146372,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2003-04-01 09:09:47.0,25,2022-10-07 10:43:19.44,
1322,8A0A79D2-C116-4F1A-8C25-8BC53A960052,Waterloo Education Association,03090,,WEA,222305967,388058,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1327,CCC7F1AB-3801-457C-A7FF-DC19EC1C5952,Waverly Teachers Association,03095,,WTA,232120976,687672,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1328,6C0D7A54-239C-4EF9-A0C3-151303104530,Wayland-Cohocton Teachers Association,03096,,WCTA,205996243,334845,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1329,55D840F9-B443-4D78-AEBA-34A6D3DA7C57,Wayne Teachers Association,03097,,,510252866,850070,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1335,1322DCEC-CE4A-4723-8EEF-A735B80FFDEC,Wellsville Educators Association,03103,,WEA,222438053,630912,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1345,523D00AC-0262-4F72-A8E6-9369CA69C96F,Westfield Teachers Association,03113,,WTA,237381528,219388,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1353,3453A53C-B27E-42F4-9C73-F82F14AD3275,Whitesville Teachers Association,03121,,WTA,943452818,901597,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1362,8E40BA39-21D0-48AF-9878-C59F1FFB93BA,Wyandanch Teachers Association,03130,,WTA,510237299,764716,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1364,262D623B-451B-47E6-ADFE-E55808E605E3,Wyoming Teachers Asn,03132,,WTA,222531176,545533,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,11,,0,,0,0,0,0,0,,0,0,1,2003-04-01 09:09:47.0,25,2022-10-07 10:43:19.44,
1369,D63E1481-3157-11D6-B0A1-00508B6D7CC3,Cooper Union Federation of Teachers,03163,,CUFT,261750380,354126,,1,1974-07-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2002-07-16 09:51:18.0,1,2022-09-23 11:22:24.3866667,
1370,D63E1490-3157-11D6-B0A1-00508B6D7CC3,Franklin Es Ham Boces,03228,,FEHB,237364798,196384,,1,1973-05-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,1,,0,,0,0,0,0,0,,0,0,1,2002-07-16 09:51:18.0,1,2022-09-23 11:22:24.3866667,
1371,D63E14B4-3157-11D6-B0A1-00508B6D7CC3,Phelps Clifton Springs Employees,03374,,PCSE,,650638,,1,1975-01-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2002-07-16 09:51:18.0,1,2022-09-23 11:22:24.3866667,
1380,BFDBCAE7-B243-4168-99A7-E0D5BB137DE2,Elmira CmcW,03539,,ECMCW,453066788,734654,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,3,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
1712,65A180F0-2DD6-4F84-9D9F-21582E158019,Tri County Substitute Teachers Union,06177,,TCSTU,204156397,525888,,1,2001-11-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,11,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1714,73842C4B-441B-4956-A82B-6A64F42812AA,"Liberty Teaching Assistants, Monitors & Aides Assn",06188,,LTAMAA,100004878,401189,,1,2002-04-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,11,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1716,93C6F74B-2DFB-4A31-8C13-7833CE09AB82,Alexander SRP Association,06190,,ASRPA,,920963,,1,2002-04-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1717,B251225A-0AD2-47D4-BF00-BAC9732E1980,Jamestown City Administrators Association,06201,,JCAA,141827989,824125,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,2,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1718,46452A82-1E54-4ECE-B320-53B1E0222FA1,Beaver River Non Instructional Education Assn,06202,,BRNIEA,10708462,939517,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1719,FE1A8AC4-1AFF-44FB-AA09-81160A46FE84,West Valley Service Employees Association,06203,,WVSEA,800303742,334315,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,10,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1720,CD2DEA13-EAD0-4935-8B8D-7F87F46579CD,"Schenectady Cnty Comm Coll Chair, Admin, Dir Assn",06204,,SCCC,141403935,522789,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,4,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1721,81FB3CD2-0510-4620-A878-299564A8EF31,Charter School For Applied Technologies Teachers,06205,,CSATT,461123667,968972,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,7,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
1722,D27F8E7F-FB7C-44CA-A3AA-D493E893CA86,Uniondale Security Association,06206,,USA,,723563,,1,2002-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2003-10-20 12:05:26.0,25,2022-10-07 10:43:19.44,
